animal,migrant,mixed-migrant,disperser,resident,nomad,bestmodel
140040,3554.30607677158,3528.95051481526,4142.92026654954,4225.37031725518,4321.20740564099,2
140050,3445.87361912439,3438.092620893,3404.28523984964,3348.46083484513,3426.68124238135,4
140060,3729.22050937714,3642.94954925028,3681.17521465708,3659.60757827883,3753.19830425468,2
140070,3466.78879673815,3437.9611365175,3487.11886250059,3498.20862563183,3532.06467746537,2
140100,2183.69054947021,2185.69054947021,2179.69054947021,2305.93306653579,2215.75041212027,3
140120,NA,NA,1090.82704145556,1293.31889332437,1193.53894328226,3
140290,3579.81132882683,3466.03900893078,3728.19529919741,3736.55383344394,3893.51539328756,2
140300,3920.4194035493,3837.95747523348,4313.35159359996,4482.38078550205,4543.01187771269,2
140320,4068.68744370828,4004.01135452732,4163.7458638402,4158.70336048628,4265.1340588146,2
140340,3180.55311748247,3166.76249771264,4066.33111706402,4182.44138193299,4295.04929818805,2
140380,2896.18326828716,2746.61734966866,2747.20654194415,2716.96462184614,2739.801365449,4
140400,3479.09774185029,3375.03208818357,3354.18655647056,3344.41037595044,3297.63225129346,5
140480,4073.59288423567,3960.71695683875,3962.27919163394,3963.11390252973,4009.55545794412,2
140560,NA,NA,NA,4834.67398339396,4922.84955131931,4
140600,NA,3402.86718782768,3326.34449022548,3222.60073889376,3357.00637936847,4
140630,3453.53432655961,3391.98462769045,3350.10627940328,3278.91069758407,3358.4871230961,4
140650,3473.23666696283,NA,NA,3681.79008035073,3700.72745852363,1
140680,3824.99955099726,NA,4061.87097230617,4214.97429663629,4203.48791295658,1
140710,3391.87984566005,3257.35049885149,3221.77752348577,3241.58629927665,3241.77520861909,3
140800,4607.09586123358,NA,4534.61807782589,4697.91759248439,4611.84889767905,3
140850,NA,NA,NA,4429.80238757084,4613.26839599466,4
140890,NA,4021.41626091914,3186.33777400651,3159.94585169968,3134.36187661213,5
140910,4267.58737916767,4329.45917733562,4383.46936256541,4447.98573921482,4481.98098947412,1
140940,3616.91165203476,3553.7609358955,3644.52316313848,3629.48099356266,3703.24128956734,2
140960,3629.71285556734,3563.80949734672,3612.9976509388,3590.04949894715,3705.04717927642,2
140980,3162.81081476827,3074.9788853507,3481.92278817527,3540.43559417721,3670.68838400962,2
141000,2868.90902452736,2833.08400943475,3098.54060152964,3186.55187542811,3250.07826938761,2
141010,4097.16308552746,4057.05051005649,4315.31665671515,4416.30342268246,4532.14938670191,2
141060,3759.77628876771,NA,3617.30511239344,3590.748085523,3595.5739910307,4
141070,3117.47509642372,3038.62792448569,2991.74146579108,2910.78475802527,2985.24835135058,4
141080,3518.14441862218,3420.43395360602,3381.29039298672,3378.7928677323,3317.62058116036,5
141100,3555.66642899611,3467.81525850198,3390.20972559891,3403.58469329479,3335.31120457748,5
141120,4119.43312980898,4103.63400258988,4475.2196626916,4557.41796544498,4599.63675346325,2
141130,3836.70131662361,3768.41119686491,3919.68747444626,3912.36364717075,4059.13471369381,2
141150,3964.71330772185,3933.14301113822,4767.74229374743,4840.42924321538,4942.02244984188,2
141160,2763.72717062432,2425.4779502321,2419.47795023201,2768.82802395979,2338.9465396176,5
141180,2395.90788889413,2397.77577423028,2393.13623010263,2898.8347372725,2666.70762524881,3
141260,4040.99272508754,3860.3402474427,4035.49271928201,4126.76499074219,4189.32033090693,2
141340,2621.16449869124,2623.16449871175,2617.16449869207,2735.00883390086,2612.39248781533,5
141470,2443.02091943086,2439.47836558527,2483.84967001218,2680.0216926558,2588.7124798224,2
141490,3333.82602222586,NA,3284.37577708766,3184.13973781659,3289.63822409557,4
141520,2506.28933719818,2486.99511805461,2694.21784014734,2878.79398944469,2903.17235655204,2
141560,3908.67699980675,3882.82002108644,4164.74985288268,4187.73446980603,4288.93639135436,2
141610,2300.3189016438,2278.10727985077,2701.47776055992,2742.63531578674,2769.6833220049,2
150360,5269.7674427668,4855.30154027765,4806.45101712497,4992.76576467286,4527.49807032024,5
150920,3697.85061843898,3615.51901127275,3769.93812337923,3737.28201604657,3942.50526226073,2
151110,2594.85345656886,2596.35810040601,2593.22486308182,2487.30760109449,2604.46866933235,4
151170,2022.61824723532,2024.61824723532,2018.61824723532,2009.22352048722,1985.87746351484,5
151200,3975.90407021959,3799.56183209721,4232.46425965052,4330.37931980699,4427.82506289115,2
151220,2554.42612537235,2555.70242407702,2819.10653555423,3079.49928371402,2980.79917570235,1
151300,3153.29417240025,3153.68515528455,3147.88763216245,3117.73925239301,3121.51701158547,4
151380,3145.38656316638,3147.38656321156,3141.38656321191,3161.92158541724,3075.32704669473,5
151500,NA,NA,1258.72909800921,1664.94519229626,1622.04243751954,3
151570,3714.97199701731,3712.82177570015,NA,4288.87551796699,4458.14228774707,2
151580,1933.56096250025,1935.56096250025,1929.56096250025,1918.27120682959,2027.04792312643,4
